info,mask
/0/snow/labrador/snow_labrador_0.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001110000000000000111000000000000011111000000000001111100000000000111100000000000011110000000000001111000000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_1.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000001111111100000001111111111000000110111111100000000011000110000000001000010000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_2.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000011110000000000001110000001111111111000001111111111100000111111111110000000111111110000000111100011000000011100001100000001110000111000000110000000000000
/0/snow/labrador/snow_labrador_3.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000011110000000000001111100000000000111111000000000011111100000000001111110000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_4.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000001111000000000000011110000000000001111100000000000111111000000000001111110000000000111111000000000111011000000000000000000
/0/snow/labrador/snow_labrador_5.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000011110000000000001111100000000000111110000000000011111000000000001111100000000000011000000000000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_6.png,0000000000000000000000000000000000000000000000000000000000000000000001111111111100001111111111110001111111111111001111111111111100111111111111110011111011111100001111000011100000101100001110000000000000101000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_7.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000111110000000000011111000000000001111100000000000111110000000000111111000000000011111100000000001111110000000000111111000000000011111100000000000111110000
/0/snow/labrador/snow_labrador_8.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000011110000000000000111000000000000011100000000000001110000000000000010000000000000000000
/0/snow/labrador/snow_labrador_9.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000011110000000000001111000000000000111100000000000011110000000000000111000000000000010000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_10.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011001111100000011111111111100001111111111000000001111111100000000011100110000000001100011000000001110001100000000100000000000000000000000000
/0/snow/labrador/snow_labrador_11.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000000111110000000000111110000000000011111000000000001111100000000000101110000000000010111000000000000011100000
/0/snow/labrador/snow_labrador_12.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000111100000000000001111111000000000011111100000000001111111000000001100000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_13.png,0000000000000000000000000000000000000000000000000000000000000000000000000110000000000001111100000000001111111000000001111111100000000111111110000000111111111000000111111110000000111111111000000111111111000000111111111100000011111111110000001111111111000000
/0/snow/labrador/snow_labrador_14.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000011111000000000011111110000000011111111000000001111111100000000111111110000000111111110000000011111110000000001111111000000000111111100000000011111110000000001111111000000000
/0/snow/labrador/snow_labrador_15.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111000000000000011100000000000001110000000000001111000000000000111100000000000011110000000000001110000000000000111000000000000010000000000000
/0/snow/labrador/snow_labrador_16.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_17.png,0000000000000000000000000000000000000000000000000000000000000000000000111000000000000111110000000000011111000000000000111100000000000001110000000000000011100000000000001110000000000001111000000000000111100000000000111110000000000000011000000000000000000000
/0/snow/labrador/snow_labrador_18.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111100000000000011110000000000001111000000000000011100000000000001100000000
/0/snow/labrador/snow_labrador_19.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000001100011100000000110001110000000011111111000000001111111000000000111111100000000011001100000000001000110000000000000010000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_20.png,0000000000000000000000000000000000000000000000000000000000000000000001110000000000000111100000000000001111100000000000111111111100000011111111000000111011011100000011001101011000000000001101100000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_21.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000001111100000000001111111000000000111111100000000001111111110000000111111111100000011111111111000001111111111110000111111111111000111111100000000111111100000000011000000000000
/0/snow/labrador/snow_labrador_22.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000111111111100011111111111110001111111111111000111111111101100001001110110010000001110011001000001110001100000000110000000000000000000000000
/0/snow/labrador/snow_labrador_23.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000100000000000000011011100000000000111110000000000011111000000000001110100000000000100000000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_24.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000111100000000000011110000000111111110000000011111111000000001111111100000000111001100000000011000000000000000000000000000000
/0/snow/labrador/snow_labrador_25.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001100000000000001111000000000111111000000000111111100000000011111110000000001111111000000000111011100000000011001110000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_26.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111000000000000111100000000000001111111100000000111111111000000001111111100000000111111110000000011100011000000001110001100000000000000000000000000000000
/0/snow/labrador/snow_labrador_27.png,0000000000000000000000000000000000000000000000000000000000000000000000011110000000000011111100000000001111100000000000111110000000000111111000000000111111100000000011111110000000001111111000000000111111000000000011110100000000000011010000000000000000000000
/0/snow/labrador/snow_labrador_28.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000011100000000000001111000000000000111100000000000011110000000000001110000000000000000000000000000000000
/0/snow/labrador/snow_labrador_29.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011000000000000001111000000000000111110000000000001111000000000000011100000000000001010000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_30.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000011000000000000001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_31.png,0000000000000000000000000000000000000011000000000000011110000000000001111000000000000011111011000000001111111100000000111111111000000011111111100000001111111110000000111101111000000001110111100000000111001110000000011100101000000011110000000000000000000000
/0/snow/labrador/snow_labrador_32.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000110000000000000111000000000000011000000000000001110000000000000
/0/snow/labrador/snow_labrador_33.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011100000000011111110000000001111111100000000111111100000000011111000000000000111100000000000011100000000000001100000000000000000000000000000
/0/snow/labrador/snow_labrador_34.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011110000000000001111100000000000111100000000111111110000000111111111000000111111111100000000111110000000000000000000000000000000000000000000000000000
/0/snow/labrador/snow_labrador_35.png,0000000000000000000000000011000000000000111111000000000011111100000000001111110000000000111110000000000011111000000000001111100000000001111111000000001111111100000000111111110000000111111111000000011111111100000011111111110000001111111111000000111111111100
/0/snow/labrador/snow_labrador_36.png,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000011110000000111111111000000011111111000000001111111000000000011101000000000000000100000000000000000000000000000000000000000
